OverallQual,2ndFlrSF,1stFlrSF,GarageArea,BsmtFinSF1,LotArea,MasVnrArea,OpenPorchSF,WoodDeckSF,YearRemodAdd,BsmtUnfSF,YearBuilt,GarageYrBlt
5,0,1235,480,600,8500,203.0,0,0,1961,635,1961,1961.0
5,0,964,432,713,13360,0.0,0,0,2006,163,1921,1921.0
6,1031,1260,506,1046,7200,0.0,0,0,1998,168,1910,1900.0
6,881,905,684,648,9337,0.0,162,0,1997,176,1997,1997.0
6,790,680,420,310,9765,68.0,63,232,1993,370,1993,1993.0
7,0,1588,472,1162,10264,183.0,29,158,1999,426,1999,1999.0
4,0,960,432,520,10921,48.0,0,120,1965,440,1965,1965.0
5,0,835,366,108,10625,0.0,0,0,1950,350,1920,1920.0
4,0,1225,0,569,9320,0.0,0,352,1959,381,1959,1980.0
6,0,1610,480,1200,10603,28.0,68,168,2001,410,1977,1977.0
6,755,977,476,0,9206,336.0,46,192,1985,741,1985,1985.0
5,0,1535,410,0,7018,0.0,0,0,1979,0,1979,1979.0
7,0,1226,740,0,10402,0.0,36,0,2009,1226,2009,2009.0
7,592,1226,240,224,7758,600.0,0,0,1950,816,1931,1951.0
8,939,1053,648,0,9375,768.0,45,140,2004,1053,2003,2003.0
4,0,1047,273,0,10800,0.0,0,0,1995,641,1885,1954.0
5,0,789,250,104,6000,0.0,0,0,1950,516,1948,1948.0
5,520,997,0,0,8500,0.0,0,0,2005,793,1919,1980.0
6,0,1844,546,705,11751,480.0,122,0,1977,1139,1977,1977.0
6,639,1216,325,444,9525,0.0,0,182,1972,550,1954,1954.0
7,656,774,400,250,7750,0.0,0,180,2000,134,2000,2000.0
7,1414,1282,792,984,9965,220.0,184,120,2007,280,2007,2007.0
6,0,2259,450,35,21000,184.0,120,166,1953,905,1953,1953.0
6,884,1436,180,774,7259,0.0,0,224,2002,104,1945,1945.0
6,729,729,440,419,3230,1129.0,32,0,1999,310,1999,1999.0
5,0,1092,288,170,11616,116.0,20,0,1962,252,1962,1962.0
5,0,1125,430,0,8536,0.0,64,80,2007,1125,2006,2007.0
7,1523,1699,594,1470,12376,0.0,0,367,1990,203,1990,1990.0
6,728,728,390,0,8461,0.0,24,0,2006,728,2005,2005.0
6,0,988,540,938,21453,0.0,130,0,1969,0,1969,1969.0
4,351,772,264,0,6060,0.0,0,0,1950,732,1939,1979.0
6,0,1080,288,570,9464,135.0,0,0,1958,510,1958,1958.0
6,0,1199,530,300,7892,0.0,63,0,1993,899,1993,1993.0
6,0,1586,435,0,17043,0.0,0,192,1998,1362,1979,1979.0
6,0,520,0,490,6780,0.0,0,53,1982,30,1935,1980.0
6,0,958,440,120,4928,0.0,205,0,1976,958,1976,1977.0
5,0,840,0,116,4388,0.0,0,0,1950,556,1930,1980.0
6,688,660,453,512,7590,266.0,108,188,1966,148,1966,1966.0
5,0,1053,750,567,8973,85.0,80,0,1991,413,1958,1998.0
7,941,1216,487,445,14200,309.0,66,105,1966,479,1966,1966.0
6,1032,1022,390,695,12224,40.0,48,24,2000,297,2000,2000.0
5,0,1327,624,405,7388,0.0,0,0,2002,658,1959,1974.0
8,0,1296,471,1005,6853,136.0,25,192,2002,262,2001,2001.0
5,0,1721,440,570,10335,0.0,96,0,1993,891,1968,1968.0
7,0,1682,530,0,10400,288.0,0,98,1970,1304,1970,1970.0
5,0,1214,318,695,10355,196.0,111,0,1967,519,1967,1967.0
7,0,1959,766,0,11070,70.0,0,0,1989,1907,1988,1989.0
8,848,1004,660,668,9066,320.0,106,224,2000,336,1999,1999.0
6,836,928,470,821,15426,0.0,99,276,1997,107,1997,1997.0
4,0,864,0,432,10500,0.0,0,0,1971,432,1971,1980.0
7,0,1734,660,1300,11645,0.0,24,160,2005,434,2005,2005.0
5,475,910,720,507,8520,0.0,0,0,1952,403,1952,2000.0
7,0,1501,577,679,10335,183.0,29,144,1999,811,1999,1999.0
5,0,1728,504,1332,9100,336.0,0,0,1963,396,1963,1963.0
6,739,970,380,0,2522,50.0,40,0,2006,970,2004,2004.0
5,0,875,180,209,6120,0.0,0,48,1993,506,1931,1931.0
7,1151,884,434,0,9505,180.0,48,144,2001,884,2001,2001.0
7,0,1080,0,680,7500,120.0,0,0,2005,400,2004,1980.0
5,448,896,240,0,6240,0.0,114,200,1950,896,1936,1936.0
5,0,969,440,716,10356,0.0,0,0,1975,253,1975,1975.0
8,0,1710,866,1400,13891,436.0,102,0,2008,310,2007,2007.0
6,896,1097,495,416,14803,252.0,66,0,1971,409,1971,1971.0
6,0,1252,564,429,13500,0.0,0,409,1975,93,1960,1960.0
6,0,1200,312,0,11340,0.0,0,0,1950,1200,1923,1923.0
6,524,572,0,0,9600,0.0,8,0,1950,572,1924,1980.0
5,0,1040,625,0,7200,0.0,0,0,1950,0,1950,1950.0
8,1194,774,680,0,12003,84.0,75,0,2010,774,2009,2009.0
7,956,991,678,222,12552,0.0,136,0,2005,769,2004,2004.0
7,1070,1392,576,57,19378,456.0,132,239,2006,1335,2005,2006.0
6,0,1232,516,660,11120,0.0,0,0,1984,572,1984,1984.0
9,1096,1572,726,1016,13688,664.0,0,400,2004,556,2003,2003.0
7,0,1541,532,1201,12182,226.0,70,0,2005,340,2005,2005.0
4,0,882,0,0,5500,0.0,0,0,1956,882,1956,1980.0
6,467,1149,216,370,5400,0.0,0,0,2004,779,1926,1926.0
5,547,808,0,351,10106,0.0,0,140,1999,112,1940,1980.0
5,0,1867,303,379,10708,0.0,0,476,1993,470,1955,1955.0
8,551,1610,789,1288,10562,300.0,120,178,2007,294,2007,2007.0
7,880,840,440,0,8244,0.0,48,100,2004,840,2004,2004.0
8,0,1707,511,0,16669,653.0,64,574,1981,1686,1981,1981.0
5,0,854,660,360,12358,0.0,0,237,1950,360,1941,1991.0
6,0,1656,528,639,31770,112.0,62,210,1960,441,1960,1960.0
7,703,1064,504,495,5306,0.0,35,441,1987,354,1987,1987.0
6,0,1362,504,288,10197,491.0,20,0,1961,700,1961,1961.0
6,0,1651,616,1398,12416,132.0,0,192,1986,0,1986,1986.0
6,0,2158,576,477,12615,0.0,29,0,2001,725,1950,1950.0
6,896,1164,521,831,10029,268.0,228,0,1989,320,1988,1988.0
5,668,1252,451,57,13650,0.0,0,0,1958,554,1958,1958.0
9,0,2234,1166,1904,17423,748.0,60,0,2009,312,2008,2009.0
5,0,968,480,0,8520,0.0,0,0,2006,968,1923,1935.0
6,756,769,440,436,2117,456.0,0,0,2000,320,2000,2000.0
7,901,901,216,352,7588,0.0,0,0,1950,441,1920,1920.0
5,0,1340,252,0,9060,98.0,0,116,2006,0,1957,1957.0
7,720,1362,484,0,11426,0.0,238,280,2003,1362,2003,2003.0
5,316,936,576,0,7438,0.0,0,104,1991,504,1908,1986.0
10,1518,1518,840,0,22950,0.0,260,0,1993,1107,1892,1993.0
7,0,1217,497,611,9947,0.0,27,168,1991,577,1990,1990.0
5,704,808,180,0,10410,0.0,0,0,1987,660,1916,1916.0
5,0,1224,528,1086,7018,275.0,0,120,1979,0,1979,1979.0
8,0,1593,682,1153,4923,0.0,120,0,2002,440,2001,2001.0
8,1178,1549,440,297,10570,0.0,74,0,1994,556,1932,1932.0
7,754,725,484,626,7472,138.0,32,0,2004,99,1972,1972.0
7,0,1431,666,560,9017,0.0,35,0,1999,871,1999,1999.0
7,739,970,380,0,2522,50.0,40,0,2004,970,2004,2004.0
5,0,864,352,390,7180,0.0,0,0,1972,474,1972,1989.0
6,601,855,440,566,2280,0.0,0,87,1976,289,1976,1976.0
7,0,1726,786,1126,9416,205.0,138,171,2007,600,2007,2007.0
8,1360,1360,795,1036,25419,0.0,16,0,1990,140,1918,1918.0
6,929,929,0,0,5520,0.0,198,0,1950,755,1912,1980.0
8,0,1713,856,1088,9591,262.0,26,0,2005,625,2004,2004.0
4,0,1121,440,0,8546,0.0,64,132,2004,1121,2003,2003.0
6,0,1279,473,641,10125,0.0,83,238,1977,276,1977,1980.0
6,445,865,398,617,7000,0.0,0,0,1950,0,1924,1924.0
6,0,848,420,662,4438,205.0,0,149,2004,186,2004,2004.0
5,564,720,240,312,3500,0.0,35,0,1950,408,1947,1948.0
7,0,1442,500,0,11851,0.0,34,0,1990,1424,1990,1990.0
5,0,1696,349,0,13673,0.0,30,0,1962,1140,1962,1962.0
4,0,1100,312,419,12493,0.0,0,355,1960,375,1960,1960.0
7,882,1180,454,1065,14364,128.0,55,60,1989,92,1988,1988.0
6,0,1092,504,787,8250,260.0,0,0,1964,305,1964,1964.0
5,0,864,0,468,5604,0.0,0,0,1950,396,1925,1980.0
6,0,1212,460,36,10420,0.0,22,100,2009,1176,2009,2009.0
7,920,932,644,822,8640,0.0,108,168,2009,78,2009,2009.0
5,0,990,576,716,13568,0.0,0,224,1995,274,1995,1996.0
6,703,689,299,378,10900,153.0,36,0,1977,311,1977,1977.0
5,0,1236,447,360,10011,64.0,0,0,1996,710,1957,1957.0
7,0,1436,484,946,8450,266.0,98,139,2004,490,2004,2004.0
4,518,810,210,0,9906,0.0,172,0,1950,686,1925,1940.0
7,817,1137,431,341,15660,312.0,119,0,2006,457,1939,1939.0
7,0,1248,438,16,3010,16.0,0,108,2006,1232,2005,2005.0
7,0,1498,675,0,8990,0.0,33,351,2006,1498,2006,2006.0
6,1257,1010,390,0,8068,0.0,46,120,2002,1010,2002,2002.0
6,741,811,434,550,11475,0.0,208,209,1975,163,1975,1975.0
4,0,864,576,524,10500,0.0,0,216,1971,160,1971,1989.0
10,0,2392,968,56,13472,922.0,105,248,2003,2336,2003,2003.0
5,672,630,280,0,1680,142.0,0,0,1971,630,1971,1991.0
7,1306,1214,721,565,9950,290.0,114,224,1995,638,1995,1995.0
6,504,483,280,321,1869,127.0,0,0,1970,162,1970,1987.0
5,0,912,336,842,8521,0.0,0,0,1967,70,1967,1974.0
7,0,1555,430,16,3182,16.0,20,143,2006,1357,2005,2005.0
6,0,1194,312,0,8760,220.0,0,0,1959,1194,1959,1959.0
8,1304,1490,810,689,15138,506.0,146,0,1996,773,1995,1995.0
6,504,483,288,0,1680,297.0,0,0,1972,483,1972,1972.0
5,0,894,308,182,10650,0.0,0,365,1976,0,1976,1976.0
6,1100,860,440,625,7851,0.0,48,288,2002,235,2002,2002.0
6,504,483,264,358,1680,604.0,0,0,1971,125,1971,1971.0
7,0,1414,494,24,8773,98.0,105,132,2004,1390,2004,2004.0
7,730,1014,457,402,9453,0.0,70,370,2003,594,1993,1993.0
8,0,1694,818,0,12030,254.0,228,168,2007,1694,2007,2007.0
6,689,798,220,94,8741,0.0,140,0,1950,641,1945,1949.0
8,0,1566,750,1078,9000,36.0,168,144,2008,488,2008,2008.0
5,0,866,0,329,3880,0.0,42,58,1997,357,1945,1980.0
5,551,889,352,0,5000,0.0,0,0,1950,540,1900,1940.0
6,591,626,288,0,10762,0.0,28,0,1980,626,1980,1980.0
7,888,1222,463,695,8880,0.0,130,0,2002,253,1994,1994.0
7,0,1872,604,929,10400,102.0,39,197,1988,916,1988,1988.0
6,1020,908,440,0,9142,0.0,60,0,1950,1020,1910,1910.0
6,0,1375,451,0,11310,0.0,30,0,1954,1367,1954,1954.0
7,828,840,500,0,11317,101.0,68,144,2003,840,2003,2003.0
6,700,1444,389,697,159000,472.0,98,0,2006,747,1958,1958.0
3,0,1306,0,0,5350,0.0,0,263,1966,728,1940,1980.0
8,0,1625,538,1573,4750,481.0,0,123,2007,0,2006,2006.0
6,842,798,520,0,8366,0.0,45,138,2004,798,2004,2004.0
6,0,1302,309,270,9350,108.0,0,333,1991,452,1964,1964.0
5,0,1314,294,922,8400,0.0,0,250,1957,392,1957,1957.0
7,1286,1005,429,0,8738,302.0,0,192,1999,975,1999,1999.0
6,864,864,673,503,8791,0.0,56,216,2003,361,2003,2003.0
7,0,1604,660,1334,8814,180.0,110,123,2006,270,2006,2006.0
7,829,963,564,361,12435,172.0,96,0,2001,602,2001,2001.0
5,0,882,308,0,12702,0.0,45,0,1956,0,1956,1956.0
6,0,1382,884,672,19296,399.0,0,0,1962,0,1962,1991.0
8,1092,1482,868,0,9588,270.0,148,0,2007,1482,2007,2007.0
6,0,1212,492,506,8471,46.0,12,292,1995,0,1977,1978.0
5,0,926,484,234,5500,0.0,0,0,2001,0,1929,1974.0
5,0,764,504,0,5232,0.0,0,0,2004,680,1925,1965.0
6,0,1422,576,588,12090,210.0,0,276,1981,606,1981,1981.0
6,709,802,413,714,11207,0.0,75,95,1997,88,1997,1997.0
5,720,1052,240,378,8400,0.0,24,262,1997,342,1939,1939.0
5,0,778,924,403,6900,0.0,25,0,1955,212,1940,1966.0
6,0,1113,504,751,7917,174.0,30,370,1976,392,1976,1987.0
8,844,1095,1053,0,10728,0.0,51,192,2006,1095,2006,2006.0
7,0,1363,439,226,39104,0.0,0,81,2005,96,1954,1954.0
8,1106,1164,671,524,11764,348.0,57,132,2007,628,1999,1999.0
6,0,1632,338,620,9600,183.0,0,289,1988,0,1958,1958.0
5,0,816,264,546,8314,0.0,0,168,1982,270,1982,1982.0
7,596,952,672,0,7264,0.0,0,74,2007,952,1925,1978.0
7,0,1560,573,0,9196,0.0,150,100,2003,1560,2003,2003.0
4,0,864,400,120,19138,0.0,0,0,1951,744,1951,1951.0
9,0,2121,732,0,14450,315.0,98,124,2007,2121,2006,2007.0
7,866,1156,505,392,10005,299.0,117,288,1977,768,1977,1977.0
7,807,1175,575,421,11287,340.0,84,0,1989,386,1989,1989.0
6,0,1262,572,905,7200,68.0,120,0,2006,357,2006,2006.0
7,0,1314,626,904,5063,166.0,62,172,2008,410,2007,2008.0
8,0,1468,898,0,9612,72.0,150,210,2009,1468,2008,2008.0
6,0,1575,529,430,8012,0.0,0,0,1992,1145,1992,1992.0
7,625,625,528,0,4251,0.0,54,0,2007,625,2006,2006.0
6,649,1085,440,600,9786,0.0,0,0,1981,312,1962,1962.0
4,0,858,0,614,8125,0.0,0,0,1971,244,1971,1980.0
5,0,900,280,450,9819,31.0,0,0,1967,432,1967,1970.0
6,698,698,384,0,8730,0.0,0,0,2003,698,1915,2003.0
8,840,1079,685,0,15611,0.0,51,0,2006,1079,2006,2006.0
5,780,936,0,210,5687,0.0,184,0,2000,570,1912,1980.0
5,568,1148,281,292,11409,0.0,0,0,2008,476,1949,1949.0
7,795,1468,539,795,16659,34.0,250,0,1994,0,1977,1977.0
6,0,1644,418,1285,9600,238.0,0,110,1953,131,1953,1953.0
6,0,1003,588,819,7937,0.0,0,120,1984,184,1984,1984.0
5,648,910,282,420,13710,0.0,0,289,1950,490,1950,1950.0
7,975,975,576,649,7399,1600.0,10,0,1998,326,1997,1997.0
6,702,1041,539,384,11700,365.0,0,224,1968,143,1968,1968.0
6,0,1152,300,0,14000,0.0,36,0,2004,1092,1950,1950.0
5,0,1336,375,841,15750,56.0,0,0,1953,324,1953,1953.0
8,1242,1210,683,281,16226,0.0,50,208,1999,747,1998,1998.0
7,0,1541,843,0,13704,150.0,81,468,2002,1541,2001,2001.0
5,0,894,552,894,9800,0.0,0,256,1972,0,1972,1975.0
7,1818,1675,870,0,18386,0.0,0,302,2002,1470,1880,2003.0
8,0,2000,888,1464,10386,246.0,0,168,2005,536,2004,2004.0
7,1121,1122,746,700,13474,246.0,44,127,1991,0,1990,1990.0
6,371,1035,0,0,7920,0.0,144,0,1950,319,1920,1980.0
4,0,861,539,262,12342,0.0,0,158,1950,599,1940,1961.0
9,0,1944,708,1274,12378,0.0,175,208,2004,622,2003,2003.0
6,804,697,420,518,7685,112.0,63,190,1994,179,1993,1993.0
6,0,972,240,680,8000,0.0,0,0,2002,292,1948,1948.0
5,325,793,410,507,7800,0.0,0,0,1950,286,1939,1939.0
7,0,2036,513,1236,215245,0.0,0,0,1965,80,1965,1965.0
7,809,832,546,16,9600,0.0,0,0,1990,712,1925,1925.0
7,716,716,432,425,7795,0.0,51,100,2005,291,2004,2004.0
7,1200,1153,484,692,13005,278.0,195,288,1980,153,1980,1983.0
8,871,1088,1025,0,9000,0.0,46,208,2006,1088,2006,2006.0
7,1274,1372,656,987,9900,256.0,60,340,1993,360,1993,1993.0
7,0,1472,588,1036,14115,225.0,48,233,1980,336,1980,1980.0
9,1347,1249,840,0,16259,370.0,154,240,2006,1249,2006,2006.0
8,1332,1136,872,970,12099,388.0,154,184,2004,166,2004,2004.0
7,1177,1553,576,28,10380,172.0,96,201,1987,0,1986,1987.0
3,0,1163,220,256,5820,0.0,98,142,2005,906,1955,1955.0
7,1080,1898,564,0,11275,300.0,0,240,2007,710,1967,1961.0
5,0,803,360,116,5000,0.0,0,0,1950,604,1941,1941.0
8,0,1719,473,1619,10846,0.0,30,122,1993,100,1993,1993.0
6,0,1383,292,565,11600,175.0,45,0,1960,818,1960,1960.0
6,689,1445,441,0,11888,0.0,60,0,1994,844,1916,1930.0
5,596,596,189,0,6402,0.0,0,0,1950,596,1920,1920.0
5,0,1728,352,40,10624,84.0,0,155,1964,1424,1964,2002.0
5,0,1056,308,846,8176,0.0,0,0,1992,210,1958,1958.0
8,0,1629,880,1124,10655,296.0,0,0,2004,1603,2003,2003.0
7,0,1358,484,720,8198,146.0,30,192,2004,638,2004,2004.0
6,695,943,472,828,9042,0.0,38,100,1998,115,1998,1998.0
5,167,1619,529,1249,164660,0.0,0,670,1965,103,1965,1965.0
9,0,1922,676,1249,14157,200.0,51,178,2006,673,2005,2005.0
7,0,1536,532,810,9135,113.0,74,192,2003,726,2002,2002.0
7,0,1621,440,213,14145,0.0,45,108,1998,995,1984,1984.0
6,0,1215,297,585,12400,176.0,0,0,1998,630,1958,1958.0
8,915,993,431,0,14191,0.0,0,135,2002,967,2002,2002.0
4,0,841,294,0,8400,0.0,0,250,1950,721,1950,1950.0
3,0,1040,400,0,8544,340.0,0,0,1950,0,1949,1949.0
9,0,1684,564,28,8849,616.0,72,495,2005,1656,2005,2005.0
5,576,536,336,129,2592,0.0,0,182,1976,175,1976,1976.0
6,605,972,312,0,6435,0.0,0,0,1950,972,1939,1939.0
6,0,958,301,498,12772,0.0,0,0,1998,460,1960,1960.0
6,0,1478,498,1270,17600,30.0,40,0,1960,208,1960,1960.0
7,862,764,474,573,2448,106.0,27,0,2004,191,2003,2003.0
9,880,1848,706,1410,20431,870.0,0,0,2006,438,2005,2006.0
9,0,1869,617,0,7820,362.0,54,210,2007,1869,2007,2007.0
7,0,1453,445,1082,5271,0.0,80,0,1986,371,1986,1986.0
5,495,616,200,236,9084,0.0,0,48,1950,0,1941,1941.0
6,0,720,484,0,8520,0.0,0,106,2003,624,1928,2005.0
6,403,1192,240,388,8400,0.0,0,0,2000,552,1940,1940.0
6,0,1200,521,334,11249,0.0,26,0,1995,322,1995,1995.0
6,0,1167,400,560,9248,106.0,26,120,1992,598,1992,1992.0
5,0,1142,528,874,4224,0.0,90,536,1976,268,1976,1976.0
5,0,1352,288,300,6930,120.0,0,168,1958,468,1958,1958.0
8,838,1086,592,956,12011,530.0,75,208,1998,130,1998,1998.0
6,0,912,470,773,7540,0.0,0,0,1978,115,1978,1978.0
5,517,988,240,399,9144,0.0,0,0,1982,484,1940,1940.0
7,1427,495,672,0,7301,500.0,0,0,2003,0,2003,2003.0
6,504,483,264,162,1680,510.0,0,250,2007,321,1972,1972.0
6,784,790,566,712,18800,120.0,111,306,1976,84,1976,1976.0
5,672,672,468,456,10690,0.0,128,0,1997,216,1920,1964.0
6,0,1394,514,609,9500,247.0,76,0,1963,785,1963,1963.0
6,0,1431,296,371,9150,305.0,110,64,1962,728,1962,1962.0
5,0,1268,244,540,7800,200.0,98,0,1954,728,1954,1954.0
5,0,1287,576,72,9830,0.0,17,364,2006,733,1959,1997.0
6,711,953,460,0,8121,0.0,40,100,2000,953,2000,2000.0
4,468,1120,680,0,17120,0.0,59,0,1959,0,1959,1991.0
6,0,752,264,623,7175,0.0,0,353,1984,0,1984,1984.0
5,0,1319,270,428,10634,0.0,0,66,1953,0,1953,1953.0
7,1081,847,434,0,8200,0.0,48,100,2004,847,2003,2003.0
1,0,904,0,350,10020,0.0,0,0,1950,333,1922,1980.0
5,0,914,576,298,8846,0.0,0,0,1996,572,1996,1998.0
8,886,1580,610,0,11143,0.0,214,159,2005,1580,2004,2004.0
9,0,1856,834,1445,11394,350.0,0,113,2010,411,2010,2010.0
6,793,1007,463,0,8123,16.0,63,100,2000,982,2000,2000.0
5,665,1026,308,218,5000,0.0,0,0,1950,808,1924,1924.0
7,0,1301,572,0,7200,0.0,121,216,2006,1293,2006,2006.0
7,858,939,639,0,9245,0.0,53,144,2006,939,2006,2006.0
6,0,784,360,0,9000,0.0,0,0,1950,784,1928,1950.0
6,874,1079,501,985,53107,0.0,231,216,1992,595,1992,1992.0
8,0,1269,430,24,3182,16.0,20,146,2005,1232,2004,2004.0
5,526,658,0,0,8410,0.0,151,0,1996,658,1910,1980.0
6,0,1125,352,631,7200,255.0,0,296,1976,410,1976,1977.0
7,0,1479,577,0,9382,125.0,25,120,2000,1468,1999,1999.0
10,590,1742,846,1280,12474,272.0,134,196,2008,402,2007,2008.0
5,406,961,384,241,8405,0.0,130,0,1950,229,1900,1978.0
6,1157,804,560,690,12209,0.0,192,125,2002,114,2001,2001.0
5,0,882,294,0,8339,0.0,0,0,1959,0,1959,1959.0
